iter	Passed	Remaining
0	2	212
1	4	231
2	6	208
3	7	191
4	10	208
5	12	197
6	14	189
7	15	181
8	17	181
9	19	177
10	21	173
11	23	168
12	25	167
13	27	168
14	28	163
15	30	161
16	32	157
17	34	155
18	35	150
19	37	150
20	40	152
21	41	148
22	43	144
23	44	141
24	46	140
25	48	139
26	51	137
27	52	135
28	54	133
29	56	131
30	58	129
31	60	128
32	61	124
33	62	121
34	64	120
35	66	119
36	69	119
37	71	116
38	73	114
39	75	113
40	77	111
41	78	108
42	79	105
43	81	104
44	83	102
45	85	100
46	87	98
47	88	95
48	90	94
49	91	91
50	93	90
51	95	88
52	97	86
53	99	84
54	100	82
55	102	80
56	104	78
57	105	76
58	106	74
59	107	71
60	110	70
61	112	68
62	115	67
63	116	65
64	119	64
65	121	62
66	123	60
67	125	58
68	127	57
69	130	55
70	131	53
71	132	51
72	134	49
73	136	48
74	138	46
75	140	44
76	142	42
77	144	40
78	146	38
79	147	36
80	149	34
81	150	32
82	152	31
83	154	29
84	155	27
85	159	26
86	161	24
87	162	22
88	164	20
89	166	18
90	167	16
91	169	14
92	170	12
93	172	10
94	174	9
95	176	7
96	177	5
97	178	3
98	180	1
99	181	0
